Sample,YrBP,Abies,Acer,Alnus,Betula,Carya,Corylus,Cupressaceae,Fagus,Fraxinus,Larix,Ostrya.Carpinus,Picea,Pinus,Quercus,Tilia,Tsuga,Ulmus,Amaranthaceae,Ambrosia,Artemisia,Asteraceae,Poaceae
9,3406.9,2.5,8,7,135,0,1,0,6,4,0,7,8.5,317,25,0,13,12,0,4,5,0,0
10,3612.7,4,6,15,176,1,3,0,12,2,1,11,16,267,29,1,16,5,0,5,6,0,3
11,3815.9,4,6,14,129,0,3,0,2,3,0,9,14,382.5,25,0,8,10,0,3,4,0,4
12,4099.1,0.5,12,9,56,1,1,0,3,0,6,4,11.5,292,37,1,13,8,2,1,8,1,2
13,4199.6,0.5,6,7,32,0,1,0,3,2,8,1,8.5,270.5,24,0,23,8,0,6,5,1,3
1,-33.5,3,13,0,100,0,0,0,11,0,0,3,11,83,14,1,18,6,0,13,1,2,4
2,-1.1,7,7,0,97,0,0,0,3,0,0,1,12,83,17,0,18,2,0,16,3,1,1
3,30.6,3,11,0,93,1,1,0,9,0,0,2,13,98,22,0,18,5,0,23,6,3,7
4,67.1,3,18,0,108,0,0,0,7,0,0,3,5,91,23,0,23,5,0,15,3,3,2
5,102.1,8,10,0,99,2,0,0,5,0,0,5,19,102,8,0,18,3,0,9,2,1,2
6,136.2,5.5,5,0,109,1,1,0,7,0,0,9,0,96,16,0,29,3,0,7,2,1,2
7,169.9,2,6,0,108,0,1,0,6,0,0,0,8,101,14,0,29,1,0,4,1,1,2
8,204.2,5,18,0,86,0,1,0,6,0,1,3,11,104,22,0,30,4,0,4,1,0,0
9,278.5,0,6,0,137,0,2,0,8,0,0,4,7,92,7,0,27,8,0,0,4,0,0
10,339.3,1,9,0,109,0,1,0,3,0,0,3,17,93,16,0,27,4,0,2,1,2,2
11,474.4,6,13,0,104,1,2,0,2,0,0,1,11,109,9,1,29,3,0,1,1,1,1
12,608.5,2.5,7,0,112,1,0,0,3,0,0,4,6.5,118,20,0,18,2,0,1,4,0,2
13,896.6,5,12,0,103,1,1,0,2,0,0,4,7,117,14,0,21,5,0,2,2,1,1
14,1036.2,1,12,0,140,0,0,0,1,0,0,3,10,99,15,0,19,5,0,2,3,2,1
15,1310.9,0.5,18,0,120,0,0,0,3,0,0,0,5,102,17,0,27,1,0,0,1,0,2
16,1690.3,1,5,0,157,0,0,0,2,0,0,6,2,95,12,0,18,5,0,2,3,1,1
17,1980,3,11,0,140,1,1,0,7,0,5,1,2,119,18,0,12,2,0,1,3,0,2
18,2260.7,2,4,0,140,1,1,0,2,0,1,4,2,119,15,1,7,5,0,3,3,1,2
19,2537.1,3,12,0,145,0,0,0,4,0,0,8,1,112,16,1,16,6,0,5,1,0,1
20,2918.2,0,7,0,142,0,0,0,2,0,0,5,3,105,15,0,12,5,0,1,3,0,0
21,3010,0,12,0,115,0,0,0,2,0,1,3,1,130,18,0,10,2,0,1,2,0,1
22,3105.2,1,6,0,127,1,0,0,0,0,1,7,2,130,13,0,6,6,0,3,1,0,3
23,3345.3,0,12,0,160,2,0,0,1,0,0,1,0,137,17,0,9,5,0,1,2,1,0
24,3488.5,1,9,0,142,1,1,0,2,0,0,4,0,110,17,0,6,8,0,4,3,0,1
25,3774.7,2,5,0,116,0,0,0,1,0,0,2,1,128,26,0,2,1,0,1,4,2,1
26,3961.9,0,7,0,109,0,0,0,1,0,1,5,1,147,23,0,3,9,0,2,2,2,0
27,4051.9,2,6,0,113,0,0,0,2,0,0,6,1,118,13,0,3,5,0,2,4,1,2
28,4145.7,2,10,0,126,0,0,0,2,0,1,2,0,138,12,0,0,6,0,3,5,0,2
29,4238.4,3,5,0,104,0,0,0,0,0,0,4,6,143,21,0,1,2,0,2,1,1,0
30,4304.7,2,5,0,117,2,1,0,1,0,0,12,1,120,13,1,1,1,0,1,6,0,1
31,4426,0,7,0,118,1,0,0,3,0,0,8,2,146,28,0,5,5,0,3,3,0,3
32,4613.1,0,7,0,117,2,0,0,0,0,0,3,1,112,20,0,2,7,0,2,2,0,1
33,4891.3,1,10,0,115,0,1,0,1,0,1,0,3,133,28,0,4,4,0,6,0,0,1
34,5079.7,2,15,0,122,0,0,0,4,0,0,6,0,115,32,0,4,1,0,4,5,1,2
35,5221.1,1,6,0,113,0,2,0,1,0,1,7,1,124,29,0,5,7,0,7,3,2,2
36,5370.1,0,10,0,122,1,3,0,0,0,2,3,4,118,23,0,4,5,0,2,6,1,4
37,5651.8,1,12,0,79,0,0,0,1,0,2,7,3,138,32,1,4,8,0,3,3,0,3
38,5836.7,0,14,0,62,1,1,0,2,0,1,8,1,155,24,0,7,6,0,2,4,1,1
39,6001.9,1,16,0,49,1,1,0,2,0,0,1,2,160,35,0,17,6,0,5,5,1,1
40,6192.8,0,10,0,68,0,0,0,1,0,0,7,1,149,21,0,25,7,0,2,3,0,3
41,6269.2,1,8,0,42,0,1,0,1,0,0,5,4,143,27,0,40,9,0,1,3,1,2
42,6499.2,0,4,0,36,1,0,0,0,0,0,6,1,215,27,0,25,4,0,7,3,0,1
43,6611.5,0,2,0,28,0,1,0,0,0,2,6,0,155,21,0,17,15,0,3,0,0,1
44,6691.2,0,6,0,33,0,2,0,1,0,3,7,0,192,36,0,2,6,0,4,8,1,3
45,6908.5,0,5,0,19,0,1,0,1,0,2,10,3,209,30,0,0,5,0,1,5,0,0
46,7179.2,2,5,0,39,1,0,0,0,0,2,10,0,204,17,0,1,10,0,1,4,3,2
47,7451.7,0,1,0,35,0,1,0,0,0,2,3,1,260,7,0,1,5,0,5,0,0,0
48,7666.9,6,2,0,40,1,1,0,0,0,2,8,12,222,13,0,0,7,0,5,4,0,3
49,7930.5,3,0,0,19,2,1,0,0,0,1,2,15,256,13,0,0,7,0,2,4,0,1
50,8083.6,20,2,0,17,2,0,0,0,0,1,7,34,182,36,0,0,4,0,4,17,0,0
1,-29.3,5,10,52,159,1,3,0,1,0,1,7,5,212,80,5,3,12,10,29,4,2,9
2,-2.2,6,17,41,134,0,2,0,0,0,0,13,6,194,55,1,7,0,8,31,4,4,6
3,25.6,2,9,15,150,0,5,0,0,0,0,10,4,183,24,0,7,5,3,28,7,0,10
4,55.6,1,2,20,143,0,2,0,0,0,1,8,5,238,24,2,17,6,4,19,3,4,12
5,101.8,2,5,17,151,1,6,0,0,0,1,8,1,213,25,1,13,4,2,2,7,4,6
6,199.4,3,13,13,129,0,4,0,0,0,0,12,3,254,30,1,8,8,7,12,5,5,6
7,303.1,0,7,13,116,0,4,0,0,0,0,5,3,303,34,0,14,4,1,6,6,1,9
8,406.3,2,6,18,115,0,3,0,0,0,1,5,3,221,26,1,14,3,1,3,6,5,7
9,505.5,3,8,19,114,1,4,0,0,0,0,12,4,413,27,2,6,4,2,3,8,3,9
10,605.4,3,9,13,99,0,1,0,0,0,1,8,4,292,28,2,11,8,2,4,4,1,5
