Sample,YrBP,Abies,Acer,Alnus,Betula,Carya,Corylus,Cupressaceae,Fagus,Fraxinus,Larix,Ostrya.Carpinus,Picea,Pinus,Quercus,Tilia,Tsuga,Ulmus,Amaranthaceae,Ambrosia,Artemisia,Asteraceae,Poaceae
site_10316_15660_36,3500,0.002859393,0.0274715,0,0.439985887,0.003223408,0.001303948,0,0.004218788,0,0.000411039,0.009872123,0.001330081,0.392163476,0.059115697,0,0.01873697,0.017817725,0,0.007747643,0.008633717,0.002292662,0.002815945
site_10316_15660_37,3600,0.003344933,0.025712747,0,0.426330648,0.00233289,0.001092813,0,0.004452117,0,0.000399449,0.00984957,0.00153287,0.404304504,0.065164559,0,0.015701273,0.017077018,0,0.007066637,0.009762764,0.00346914,0.002406067
site_10316_15660_38,3700,0.004050165,0.023846925,0,0.410789259,0.001360968,0.000718419,0,0.004556336,0,0.000722429,0.011102443,0.002117868,0.419845633,0.067271357,0,0.012434856,0.016620278,0,0.006715603,0.01077094,0.00414709,0.00292943
site_10316_15660_39,3800,0.004816442,0.022617344,0,0.397047265,0.00057618,0.000403834,0,0.004530103,0,0.001047932,0.012203282,0.003219395,0.434665327,0.067380098,0,0.009414573,0.016409715,0,0.006664056,0.011278483,0.00440324,0.003322729
site_10316_15660_40,3900,0.00529734,0.02214885,0,0.388645581,0.000542531,0.000352604,0,0.004398988,0,0.001264991,0.014830502,0.004307137,0.444445586,0.063962013,0.000189927,0.007463241,0.016385377,0,0.006615864,0.011633423,0.004077284,0.003438762
site_10316_15660_41,4000,0.005530449,0.022056559,0,0.384772753,0.000769804,0.000331061,0,0.004489147,0,0.001269168,0.01682487,0.00508291,0.448776762,0.061414717,0.000331061,0.006691636,0.015840931,0,0.006620997,0.011873757,0.003549499,0.00377392
site_10316_15660_42,4100,0.005789144,0.022248545,0,0.385358746,0.001141917,0.000455707,0,0.004643614,0,0.001156776,0.018143519,0.005661642,0.448226147,0.059405368,0.000455707,0.006352533,0.015002705,0,0.00688596,0.012134219,0.002804291,0.004133461
site_10316_15660_43,4200,0.005709355,0.02209494,0,0.385332356,0.001798064,0.000589718,0,0.004410974,0,0.000970161,0.019422366,0.006448175,0.447297774,0.05962726,0.000589718,0.006184547,0.014312286,0,0.006988517,0.011896498,0.002139347,0.004187943
site_10316_15660_44,4300,0.005329975,0.021761779,0,0.386414788,0.002642582,0.000770993,0,0.0042971,0,0.000726534,0.021361995,0.006685853,0.443820393,0.060440581,0.000770993,0.00643099,0.013760047,0,0.006952049,0.011939848,0.001526188,0.004367312
site_10316_15660_45,4400,0.004571641,0.021826535,0,0.386954051,0.003218079,0.000734331,0,0.00436714,0,0.000518096,0.02132677,0.00662922,0.439891253,0.063623729,0.000720008,0.007169596,0.013967322,0,0.007167901,0.011456851,0.001063861,0.004793616
